Model,Accuracy,Precision,Recall,F1_Score
Logistic Regression,0.9227166276346604,0.926605504587156,0.9510357815442562,0.9386617100371747
Random Forest,0.9824355971896955,0.9777777777777777,0.9943502824858758,0.9859943977591037
Gradient Boosting,0.9824355971896955,0.9795539033457249,0.992467043314501,0.9859681945743686
